Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_20_segment_Rt Frontal
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	4c4e3144ffb06526bb43afa8e848661b39677654
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(1.0937500000000007, 1.093750000000001, 1.6964285714285399)
diagnostics	Image-original	Size	(256, 256, 113)
diagnostics	Image-original	Mean	71.1685739702883
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	1102.0
diagnostics	Mask-original	Hash	613883668837533271220913288f573fcf3aca7c
diagnostics	Mask-original	Spacing	(1.0937500000000007, 1.093750000000001, 1.6964285714285399)
diagnostics	Mask-original	Size	(256, 256, 113)
diagnostics	Mask-original	BoundingBox	(77, 89, 31, 27, 35, 27)
diagnostics	Mask-original	VoxelNum	10001
diagnostics	Mask-original	VolumeNum	1
diagnostics	Mask-original	CenterOfMassIndex	(90.22507749225078, 106.77592240775923, 43.53754624537546)
diagnostics	Mask-original	CenterOfMass	(-37.38501681102926, -22.53116197229626, -10.764019779784832)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(42, 51, 58)
diagnostics	Image-interpolated	Mean	138.82013949451712
diagnostics	Image-interpolated	Minimum	-72.31594250488348
diagnostics	Image-interpolated	Maximum	350.4672792996661
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(42, 51, 58)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 7, 30, 39, 45)
diagnostics	Mask-interpolated	VoxelNum	20049
diagnostics	Mask-interpolated	VolumeNum	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(20.805825726968926, 25.791061898349046, 28.24724425158362)
diagnostics	Mask-interpolated	CenterOfMass	(-37.309021985578006, -22.577347522381622, -10.729732066678437)
diagnostics	Mask-interpolated	Mean	221.8974872084539
diagnostics	Mask-interpolated	Minimum	-41.26458575306613
diagnostics	Mask-interpolated	Maximum	337.3701966383717
original	shape	Elongation	0.8179148011501578
original	shape	Flatness	0.6054102878398501
original	shape	LeastAxisLength	23.55410815458861
original	shape	MajorAxisLength	38.906025595685634
original	shape	Maximum2DDiameterColumn	45.89117562233506
original	shape	Maximum2DDiameterRow	45.5411901469428
original	shape	Maximum2DDiameterSlice	41.10960958218893
original	shape	Maximum3DDiameter	45.98912915026767
original	shape	MeshVolume	19996.708333333332
original	shape	MinorAxisLength	31.82181418863816
